plant_id,variety_name,variety_code,zone_id,zone_name,planting_date,age_days,stage,health_status,current_height_cm,expected_height_cm,height_deviation_pct,current_girth_mm,is_grafted,graft_success,price_range_low,price_range_high
WN-2024-0001,Local Variety,LV,ZONE-D,Open Field D,2025-03-21,20,seedling,healthy,4.4,5.0,-12.1,0.4,False,,1200,2000
WN-2024-0002,Franquette,FR,ZONE-D,Open Field D,2024-07-27,257,mature,critical,72.1,72.0,0.3,6.0,False,,1800,2800
WN-2024-0003,Local Variety,LV,ZONE-C,Open Field C,2024-09-26,196,mature,healthy,54.5,49.0,11.2,3.9,False,,1200,2000
WN-2024-0004,Chandler,CH,ZONE-E,Nursery Beds E,2025-02-28,41,young,healthy,13.4,14.3,-6.7,0.8,False,,2000,3000
WN-2024-0005,Pusa Kanchan,PK,ZONE-B,Greenhouse B,2024-12-23,108,growing,healthy,32.1,34.6,-7.3,3.2,False,,2200,3200
WN-2024-0006,Chandler,CH,ZONE-A,Greenhouse A,2024-04-22,353,ready_to_sell,healthy,118.2,123.5,-4.3,10.1,True,True,2000,3000
WN-2024-0007,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-08-29,224,mature,healthy,63.1,67.2,-6.1,6.5,False,,2500,3500
WN-2024-0008,Franquette,FR,ZONE-D,Open Field D,2024-10-15,177,growing,healthy,56.0,49.6,13.0,3.7,False,,1800,2800
WN-2024-0009,Franquette,FR,ZONE-F,Hardening Zone F,2024-12-01,130,growing,healthy,27.9,36.4,-23.2,2.6,True,True,1800,2800
WN-2024-0010,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2025-01-09,91,growing,healthy,28.1,27.3,2.9,2.3,False,,2500,3500
WN-2024-0011,Pusa Kanchan,PK,ZONE-F,Hardening Zone F,2024-12-27,104,growing,healthy,31.4,33.3,-5.5,2.7,False,,2200,3200
WN-2024-0012,Kashmiri Walnut,KW,ZONE-D,Open Field D,2024-08-21,232,mature,healthy,62.8,69.6,-9.7,6.9,True,True,2500,3500
